simulator,sim_method,single_qubit_noise_prob,two_qubit_noise_prob,num_qubits,graph_density,p,problem_idx,expectation,elapsed_time,sample
pauli-z-noise,deterministic,0.0,0.0,5,0.5,11,2,-3.81640625,141.50420594215393,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,10,2,-3.03125,177.83169221878052,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,10,2,-2.943359375,174.48866367340088,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,10,2,-2.7890625,176.0281331539154,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,10,2,-3.5,166.80202054977417,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,11,2,-3.94921875,159.34250473976135,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,11,2,-3.912109375,180.44233536720276,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,11,2,-2.658203125,171.059317111969,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,11,2,-2.65625,170.1578402519226,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,11,2,-2.630859375,189.26908206939697,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,11,2,-3.236328125,180.68583989143372,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,11,2,-3.255859375,176.94474601745605,0
pauli-z-noise,deterministic,0.0,0.0,5,0.5,12,2,-3.98828125,165.28303909301758,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,11,2,-3.2890625,191.43079495429993,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,12,2,-3.98046875,174.7672894001007,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,11,2,-2.662109375,176.62337136268616,0
pauli-y-noise,deterministic,0.005,0.005,5,0.5,11,2,-2.87109375,195.4417016506195,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,11,2,-3.04296875,194.0442111492157,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,11,2,-2.892578125,197.78839826583862,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,11,2,-2.740234375,192.79072213172913,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,11,2,-3.419921875,213.47323417663574,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,11,2,-3.40625,195.99037146568298,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,12,2,-3.814453125,174.6507167816162,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,12,2,-3.943359375,185.39290809631348,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,12,2,-2.634765625,186.16461873054504,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,12,2,-2.62890625,193.41229104995728,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,12,2,-2.662109375,199.80777406692505,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,12,2,-2.57421875,178.65170907974243,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,12,2,-3.279296875,191.6783001422882,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,12,2,-3.185546875,201.06323647499084,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,12,2,-3.205078125,196.60026288032532,0
